team,pts_min,pts_max,prob
Arsenal,45.0,48.0,0.0001
Arsenal,48.0,51.0,0.0002
Arsenal,51.0,54.0,0.00065
Arsenal,54.0,57.0,0.00195
Arsenal,57.0,60.0,0.0057
Arsenal,60.0,63.0,0.01515
Arsenal,63.0,66.0,0.0286
Arsenal,66.0,69.0,0.05905
Arsenal,69.0,72.0,0.09575
Arsenal,72.0,75.0,0.13185
Arsenal,75.0,78.0,0.15825
Arsenal,78.0,81.0,0.1603
Arsenal,81.0,84.0,0.13515
Arsenal,84.0,87.0,0.0977
Arsenal,87.0,90.0,0.0588
Arsenal,90.0,93.0,0.03155
Arsenal,93.0,96.0,0.01315
Arsenal,96.0,99.0,0.0044
Arsenal,99.0,102.0,0.00145
Arsenal,102.0,105.0,0.00025
Aston Villa,25.0,28.0,0.0001
Aston Villa,28.0,31.1,0.00055
Aston Villa,31.1,34.2,0.00125
Aston Villa,34.2,37.2,0.00475
Aston Villa,37.2,40.2,0.01305
Aston Villa,40.2,43.3,0.02815
Aston Villa,43.3,46.3,0.05
Aston Villa,46.3,49.4,0.07715
Aston Villa,49.4,52.4,0.1163
Aston Villa,52.4,55.5,0.1436
Aston Villa,55.5,58.6,0.1435
Aston Villa,58.6,61.6,0.13785
Aston Villa,61.6,64.6,0.11595
Aston Villa,64.6,67.7,0.0777
Aston Villa,67.7,70.8,0.0471
Aston Villa,70.8,73.8,0.02565
Aston Villa,73.8,76.8,0.01165
Aston Villa,76.8,79.9,0.00405
Aston Villa,79.9,82.9,0.0013
Aston Villa,82.9,86.0,0.00035
Bournemouth,22.0,25.2,5e-05
Bournemouth,25.2,28.5,0.0003
Bournemouth,28.5,31.8,0.00035
Bournemouth,31.8,35.0,0.0031
Bournemouth,35.0,38.2,0.01035
Bournemouth,38.2,41.5,0.0225
Bournemouth,41.5,44.8,0.04505
Bournemouth,44.8,48.0,0.07095
Bournemouth,48.0,51.2,0.14975
Bournemouth,51.2,54.5,0.1468
Bournemouth,54.5,57.8,0.149
Bournemouth,57.8,61.0,0.1362
Bournemouth,61.0,64.2,0.1398
Bournemouth,64.2,67.5,0.0603
Bournemouth,67.5,70.8,0.0355
Bournemouth,70.8,74.0,0.0177
Bournemouth,74.0,77.2,0.0099
Bournemouth,77.2,80.5,0.00175
Bournemouth,80.5,83.8,0.0005
Bournemouth,83.8,87.0,0.00015
Brentford,27.0,29.8,0.0004
Brentford,29.8,32.6,0.0017
Brentford,32.6,35.4,0.00535
Brentford,35.4,38.2,0.0122
Brentford,38.2,41.0,0.0154
Brentford,41.0,43.8,0.04315
Brentford,43.8,46.6,0.07395
Brentford,46.6,49.4,0.11185
Brentford,49.4,52.2,0.13645
Brentford,52.2,55.0,0.098
Brentford,55.0,57.8,0.14795
Brentford,57.8,60.6,0.12705
Brentford,60.6,63.4,0.09445
Brentford,63.4,66.2,0.06175
Brentford,66.2,69.0,0.0295
Brentford,69.0,71.8,0.02325
Brentford,71.8,74.6,0.01095
Brentford,74.6,77.4,0.00415
Brentford,77.4,80.2,0.002
Brentford,80.2,83.0,0.0005
Brighton,28.0,30.9,0.0005
Brighton,30.9,33.8,0.00175
Brighton,33.8,36.7,0.0052
Brighton,36.7,39.6,0.01455
Brighton,39.6,42.5,0.0318
Brighton,42.5,45.4,0.058
Brighton,45.4,48.3,0.09005
Brighton,48.3,51.2,0.12165
Brighton,51.2,54.1,0.1413
Brighton,54.1,57.0,0.10065
Brighton,57.0,59.9,0.14065
Brighton,59.9,62.8,0.1127
Brighton,62.8,65.7,0.0821
Brighton,65.7,68.6,0.05205
Brighton,68.6,71.5,0.02675
Brighton,71.5,74.4,0.0128
Brighton,74.4,77.3,0.00535
Brighton,77.3,80.2,0.00175
Brighton,80.2,83.1,0.00025
Brighton,83.1,86.0,0.00015
Chelsea,27.0,29.9,0.0003
Chelsea,29.9,32.8,0.001
Chelsea,32.8,35.7,0.0036
Chelsea,35.7,38.6,0.0089
Chelsea,38.6,41.5,0.02065
Chelsea,41.5,44.4,0.03705
Chelsea,44.4,47.3,0.07095
Chelsea,47.3,50.2,0.1024
Chelsea,50.2,53.1,0.13605
Chelsea,53.1,56.0,0.10125
Chelsea,56.0,58.9,0.1454
Chelsea,58.9,61.8,0.129
Chelsea,61.8,64.7,0.1008
Chelsea,64.7,67.6,0.0699
Chelsea,67.6,70.5,0.03875
Chelsea,70.5,73.4,0.0195
Chelsea,73.4,76.3,0.0093
Chelsea,76.3,79.2,0.0035
Chelsea,79.2,82.1,0.00115
Chelsea,82.1,85.0,0.00055
Coventry,9.0,11.7,0.00035
Coventry,11.7,14.4,0.0013
Coventry,14.4,17.1,0.0073
Coventry,17.1,19.8,0.01115
Coventry,19.8,22.5,0.03545
Coventry,22.5,25.2,0.0732
Coventry,25.2,27.9,0.07025
Coventry,27.9,30.6,0.14405
Coventry,30.6,33.3,0.1603
Coventry,33.3,36.0,0.1097
Coventry,36.0,38.7,0.1448
Coventry,38.7,41.4,0.10395
Coventry,41.4,44.1,0.0669
Coventry,44.1,46.8,0.02925
Coventry,46.8,49.5,0.02515
Coventry,49.5,52.2,0.01025
Coventry,52.2,54.9,0.003
Coventry,54.9,57.6,0.0027
Coventry,57.6,60.3,0.00065
Coventry,60.3,63.0,0.0003
Crystal Palace,17.0,20.0,0.0001
Crystal Palace,20.0,23.1,0.00045
Crystal Palace,23.1,26.2,0.0019
Crystal Palace,26.2,29.2,0.0081
Crystal Palace,29.2,32.2,0.0174
Crystal Palace,32.2,35.3,0.03825
Crystal Palace,35.3,38.3,0.07075
Crystal Palace,38.3,41.4,0.1041
Crystal Palace,41.4,44.4,0.13575
Crystal Palace,44.4,47.5,0.1534
Crystal Palace,47.5,50.6,0.1457
Crystal Palace,50.6,53.6,0.1253
Crystal Palace,53.6,56.6,0.0882
Crystal Palace,56.6,59.7,0.0571
Crystal Palace,59.7,62.8,0.02935
Crystal Palace,62.8,65.8,0.0147
Crystal Palace,65.8,68.8,0.006
Crystal Palace,68.8,71.9,0.0024
Crystal Palace,71.9,74.9,0.00085
Crystal Palace,74.9,78.0,0.0002
Everton,21.0,24.1,0.0004
Everton,24.1,27.2,0.0012
Everton,27.2,30.3,0.00445
Everton,30.3,33.4,0.0129
