,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Arsenal,0.49085,0.34415,0.09825,0.03575,0.0154,0.00755,0.00365,0.0021,0.001,0.0007,0.0002,0.0003,5e-05,0.0,5e-05,0.0,0.0,0.0,0.0,0.0
Man City,0.4278,0.36735,0.1145,0.0432,0.02245,0.0111,0.0065,0.00365,0.00125,0.00115,0.00035,0.00045,0.00015,5e-05,0.0,5e-05,0.0,0.0,0.0,0.0
Liverpool,0.039,0.10875,0.2298,0.1596,0.1211,0.08485,0.06755,0.0517,0.0386,0.0292,0.023,0.01655,0.0114,0.0081,0.00485,0.00325,0.00185,0.00065,0.0001,0.0001
Man United,0.0132,0.0466,0.1206,0.13025,0.1158,0.10505,0.09065,0.07725,0.06725,0.05685,0.0476,0.04025,0.02845,0.02305,0.017,0.011,0.0059,0.00235,0.0007,0.0002
Aston Villa,0.00515,0.02535,0.0727,0.09635,0.10065,0.0977,0.0884,0.08515,0.07965,0.07385,0.0659,0.05025,0.0465,0.0361,0.0313,0.0218,0.01405,0.0065,0.0023,0.00035
Newcastle,0.00495,0.0195,0.06395,0.0831,0.0891,0.0923,0.0876,0.08675,0.0824,0.07135,0.06775,0.0601,0.0547,0.0439,0.03775,0.0259,0.01645,0.0087,0.0031,0.00065
Chelsea,0.00425,0.0207,0.0619,0.0836,0.09055,0.08915,0.08875,0.0851,0.08265,0.07495,0.0674,0.062,0.05455,0.0448,0.0353,0.02535,0.01685,0.0079,0.00395,0.0003
Bournemouth,0.0046,0.0164,0.05485,0.07905,0.0888,0.08625,0.0877,0.08595,0.0833,0.0784,0.0709,0.06405,0.05645,0.0459,0.03925,0.02715,0.0177,0.00875,0.00375,0.0008
Brighton,0.0033,0.01695,0.0529,0.07575,0.0817,0.08645,0.0851,0.08565,0.0821,0.0774,0.0714,0.06455,0.0577,0.05205,0.04215,0.03015,0.0209,0.0097,0.0031,0.001
Brentford,0.0037,0.01465,0.04455,0.06665,0.0735,0.08295,0.08575,0.0847,0.0805,0.0786,0.07185,0.0734,0.06285,0.0526,0.04875,0.0357,0.02285,0.0112,0.00445,0.0008
Nott'm Forest,0.00185,0.0092,0.03585,0.0535,0.06505,0.07235,0.0808,0.0831,0.0802,0.0818,0.0767,0.0784,0.0687,0.0638,0.0529,0.0427,0.0311,0.01495,0.00575,0.0013
Fulham,0.00065,0.0038,0.0158,0.0252,0.0369,0.0457,0.05645,0.06065,0.0669,0.07335,0.0796,0.0845,0.08905,0.0865,0.0861,0.0755,0.05735,0.0362,0.015,0.0048
Everton,5e-05,0.00265,0.01395,0.0236,0.03205,0.0419,0.05175,0.057,0.0648,0.0727,0.0793,0.0844,0.0899,0.09125,0.08915,0.07705,0.0662,0.03875,0.017,0.00655
Tottenham,0.0003,0.00125,0.0075,0.013,0.01895,0.02955,0.0325,0.04105,0.04835,0.0602,0.0703,0.07725,0.0863,0.09835,0.1028,0.1069,0.0969,0.06205,0.03295,0.01355
Crystal Palace,0.0002,0.0011,0.0048,0.013,0.01875,0.0258,0.0336,0.04005,0.0516,0.05805,0.06925,0.0788,0.0866,0.09995,0.10205,0.10955,0.098,0.06395,0.0323,0.0126
Leeds,5e-05,0.0011,0.0054,0.0117,0.01715,0.0251,0.03045,0.0393,0.04625,0.0573,0.0676,0.07685,0.09115,0.0987,0.10645,0.11175,0.0985,0.0655,0.0357,0.014
Sunderland,0.0001,0.0005,0.0026,0.0066,0.01155,0.0153,0.02105,0.0274,0.0376,0.0458,0.0554,0.0661,0.0788,0.09315,0.1108,0.1268,0.1306,0.0898,0.0572,0.02285
Hull,0.0,0.0,5e-05,0.0,0.00015,0.00035,0.0005,0.00165,0.00195,0.0032,0.00625,0.0086,0.01345,0.02335,0.03175,0.0615,0.10985,0.19355,0.2579,0.28595
Coventry,0.0,0.0,5e-05,5e-05,0.0003,0.00045,0.0008,0.00125,0.00255,0.0028,0.0051,0.0081,0.0127,0.02325,0.0344,0.05825,0.10495,0.201,0.2605,0.2835
Ipswich,0.0,0.0,0.0,5e-05,0.0001,0.00015,0.00045,0.00055,0.0011,0.00235,0.00415,0.0051,0.01055,0.01515,0.0272,0.04965,0.09,0.1785,0.26425,0.3507
