team,pts_medios,pts_p10,pts_p90,gf_medios,gc_medios,pos_media,p_titulo,p_top4,p_top6,p_descenso
Arsenal,77.4756,68.0,87.0,69.97115,31.9782,1.80475,0.49085,0.969,0.99195,0.0
Man City,76.3785,67.0,86.0,75.68205,37.65495,1.9678,0.4278,0.95285,0.9864,0.0
Liverpool,63.98495,54.0,74.0,68.9399,50.60825,5.10975,0.039,0.53715,0.7431,0.00085
Man United,59.5863,49.0,70.0,61.95805,50.85935,6.91485,0.0132,0.31065,0.5315,0.00325
Aston Villa,56.8741,47.0,67.0,58.3962,51.65265,8.1668,0.00515,0.19955,0.3979,0.00915
Newcastle,55.9842,46.0,66.0,59.50965,54.18845,8.61075,0.00495,0.1715,0.3529,0.01245
Chelsea,55.96785,46.0,66.0,57.6795,52.255,8.61535,0.00425,0.17045,0.35015,0.01215
Bournemouth,55.54995,45.0,66.0,56.46075,51.71675,8.8086,0.0046,0.1549,0.32995,0.0133
Brighton,55.2075,45.0,65.0,55.08375,50.78385,8.98215,0.0033,0.1489,0.31705,0.0138
Brentford,54.6041,45.0,65.0,56.49795,53.24995,9.30445,0.0037,0.12955,0.286,0.01645
Nott'm Forest,53.5135,43.0,64.0,52.7358,51.0224,9.8519,0.00185,0.1004,0.2378,0.022
Fulham,50.07095,40.0,60.0,48.7337,52.04005,11.5964,0.00065,0.04545,0.12805,0.056
Everton,49.53005,39.0,60.0,46.6524,50.43645,11.85995,5e-05,0.04025,0.1142,0.0623
Tottenham,47.1164,37.0,57.0,52.08825,60.78135,13.05515,0.0003,0.02205,0.07055,0.10855
Crystal Palace,46.9914,37.0,57.0,45.9316,53.69665,13.11665,0.0002,0.0191,0.06365,0.10885
Leeds,46.744,37.0,57.0,48.6395,57.37945,13.2475,5e-05,0.01825,0.0605,0.1152
Sunderland,44.77205,35.0,55.0,43.54255,54.52465,14.1501,0.0001,0.0098,0.03665,0.16985
Hull,33.67365,25.0,43.0,39.64335,69.98555,18.17365,0.0,5e-05,0.00055,0.7374
Coventry,33.6178,25.0,43.0,39.61415,70.09655,18.18465,0.0,0.0001,0.00085,0.745
Ipswich,32.45615,23.0,42.0,39.58815,72.4379,18.4788,0.0,5e-05,0.0003,0.79345
